timepoint;particle_concentration;treatment;absorption;relative_metabolic_activity
24;25;PS;0.0722;108.7975698
24;25;PS;0.073;110.0605162
24;25;PS_Irgafos;0.0817;62.86278027
24;25;PS_Irgafos;0.0822;63.2573991
24;25;PS_Irgafos;0.0816;62.7838565
24;25;PS_Irgafos;0.0807;62.0735426
24;25;PS_Irgafos;0.0811;62.38923767
24;25;PS_Irgafos;0.0751;57.65381166
72;25;PS;0.0744;111.6307384
72;25;PS;0.0809;121.8720905
72;25;PS;0.0739;110.8429421
72;25;PS;0.0738;110.6853828
72;25;PS;0.0725;108.6371124
72;25;PS;0.0717;107.3766383
72;25;PS_Irgafos;0.1186;109.9166336
72;25;PS_Irgafos;0.1252;116.2048432
72;25;PS_Irgafos;0.1231;114.2040492
72;25;PS_Irgafos;0.1175;108.8685987
72;25;PS_Irgafos;0.1185;109.8213577
72;25;PS_Irgafos;0.1135;105.0575625
144;25;PS;0.0746;111.0025707
144;25;PS;0.1042;156.6580977
144;25;PS;0.0905;135.5269923
144;25;PS;0.0815;121.6452442
144;25;PS;0.0852;127.3521851
144;25;PS;0.0834;124.5758355
144;25;PS_Irgafos;0.0944;77.87923834
144;25;PS_Irgafos;0.096;79.23833793
144;25;PS_Irgafos;0.0995;82.2113683
144;25;PS_Irgafos;0.0932;76.85991364
144;25;PS_Irgafos;0.0938;77.36957599
144;25;PS_Irgafos;0.0938;77.36957599
24;50;PS;0.0693;104.2193891
24;50;PS;0.0706;106.271677
24;50;PS;0.0699;105.1665989
24;50;PS;0.0753;113.6914871
24;50;PS;0.0685;102.9564427
24;50;PS;0.0674;101.2198914
24;50;PS_Irgafos;0.1081;83.69865471
24;50;PS_Irgafos;0.1088;84.25112108
24;50;PS_Irgafos;0.1064;82.35695067
24;50;PS_Irgafos;0.1079;83.54080717
24;50;PS_Irgafos;0.1039;80.3838565
24;50;PS_Irgafos;0.0978;75.56950673
72;50;PS;0.0692;103.4376567
72;50;PS;0.0696;104.0678937
72;50;PS;0.0702;105.0132493
72;50;PS;0.0708;105.9586049
72;50;PS;0.0681;101.7045048
72;50;PS;0.0688;102.8074196
72;50;PS_Irgafos;0.0935;86.0023819
72;50;PS_Irgafos;0.0953;87.71734815
72;50;PS_Irgafos;0.0937;86.1929337
72;50;PS_Irgafos;0.0949;87.33624454
72;50;PS_Irgafos;0.0826;75.61730846
72;50;PS_Irgafos;0.0897;82.38189758
144;50;PS;0.0931;139.5372751
144;50;PS;0.0905;135.5269923
144;50;PS;0.096;144.0102828
144;50;PS;0.0999;150.0257069
144;50;PS;0.0952;142.7763496
144;50;PS;0.0941;141.0796915
144;50;PS_Irgafos;0.0875;72.01812133
144;50;PS_Irgafos;0.0903;74.39654562
144;50;PS_Irgafos;0.0908;74.82126425
144;50;PS_Irgafos;0.0926;76.35025129
144;50;PS_Irgafos;0.0904;74.48148935
144;50;PS_Irgafos;0.0895;73.71699582
24;75;PS;0.0668;100.2726816
24;75;PS;0.0682;102.4828378
24;75;PS;0.0657;98.53613031
24;75;PS;0.0672;100.9041548
24;75;PS;0.066;99.00973521
24;75;PS;0.0655;98.22039371
24;75;PS_Irgafos;0.1036;80.1470852
24;75;PS_Irgafos;0.1095;84.80358744
24;75;PS_Irgafos;0.1042;80.6206278
24;75;PS_Irgafos;0.1066;82.51479821
24;75;PS_Irgafos;0.0982;75.88520179
24;75;PS_Irgafos;0.109;84.40896861
72;75;PS;0.0684;102.1771826
72;75;PS;0.0685;102.3347418
72;75;PS;0.07;104.6981308
72;75;PS;0.0708;105.9586049
72;75;PS;0.0707;105.8010456
72;75;PS;0.0656;97.76552317
